Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
28,NCT00289744,"Long-Term Immune Persistence of GSK Biologicals' Combined Hepatitis A & B Vaccine Injected According to a 0,6 Month Schedule",,Completed,Has Results,Hepatitis B|Hepatitis A,Biological: TWINRIX™ ADULT|Biological: Engerix TM,"Anti-hepatitis A Virus (Anti-HAV) Antibody Concentration|Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Number of Subjects With Immune Response to the Additional Dose of Engerix™-B|Number of Subjects Reporting Serious Adverse Events (SAEs) Assessed by the Investigator as Causally Related to Primary Vaccination, Study Procedures or Lack of Vaccine Efficacy|Number of Subjects Reporting Solicited Local and General Symptoms|Number of Subjects Reporting Unsolicited Adverse Events|Number of Subjects Reporting Serious Adverse Events (SAEs)",GlaxoSmithKline,All,7 Years to 17 Years   (Child),Phase 3,178,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,100561 (Y6)|100562 (Year 7)|100563 (Year 8)|100564 (Year 9)|100565 (Year 10),"February 16, 2004","April 15, 2009","April 15, 2009","February 10, 2006","August 26, 2010","August 20, 2018","GSK Investigational Site, Wilrijk, Belgium",,https://ClinicalTrials.gov/show/NCT00289744
29,NCT00289770,"Long-term Immune Persistence of GSK Biologicals' Combined Hepatitis A & B Vaccine Injected According to a 0,1,6 Mth Schedule in Healthy Adults",,Completed,Has Results,Hepatitis B|Hepatitis A,Biological: Twinrix™,"Number of Subjects With Anti-hepatitis A (Anti-HAV) Antibody Concentrations Equal to or Above Cut-off Value|Number of Subjects With Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentrations Equal to or Above Cut-off Values|Anti-HAV and Anti-HBs Antibody Concentrations|Anti-HBs Antibody Concentrations|Number of Subjects, Receiving an Additional Vaccination of Engerix, With an Anamnestic Response|Number of Subjects With Solicited Local and General Symptoms Assessed|Number of Subjects With Unsolicited Symptoms|Number of Subjects With Serious Adverse Events (SAEs)|Number of Subjects With Serious Adverse Events (SAEs) Determined by the Investigator to Have a Causal Relationship to Primary Vaccination or Due to Lack of Vaccine Efficacy",GlaxoSmithKline,All,"18 Years and older   (Adult, Older Adult)",Phase 3,50,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,100551 (EXT Y11)|100552 (EXT Y12)|100553 (EXT Y13)|100554 (EXT Y14)|100555 (EXT Y15),"November 1, 2004","December 20, 2004","December 20, 2004","February 10, 2006","February 23, 2011","August 17, 2018","GSK Investigational Site, Wilrijk, Belgium",,https://ClinicalTrials.gov/show/NCT00289770
30,NCT00237991,Safety of GlaxoSmithKline (GSK) Biologicals Hepatitis A Vaccine in Korean Population,,Completed,No Results Available,Hepatitis A,Biological: Hepatitis A,,GlaxoSmithKline,All,"Child, Adult, Older Adult",,600,Industry,Observational,Time Perspective: Prospective,104147,June 2005,,,"October 13, 2005",,"October 16, 2008",,,https://ClinicalTrials.gov/show/NCT00237991
31,NCT02135666,"Evaluation of the Long-term Hepatitis A and B Antibody Persistence in Healthy Adult Subjects, Primed 16 to 20 Years Earlier With GSK Biologicals' Combined Hepatitis A and B Vaccine, Twinrix® (SB208127) in Study HAB-084 (208127/084)",,Withdrawn,No Results Available,Hepatitis B|Hepatitis A,Procedure: Blood sampling,Immunogenicity with respect to components of the study vaccine in terms of antibody titres|Occurrence of Serious adverse events (SAEs),GlaxoSmithKline,All,18 Years to 64 Years   (Adult),Phase 4,0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,117307|2013-004586-13,May 2015,October 2019,October 2019,"May 12, 2014",,"November 18, 2015","GSK Investigational Site, Hradec Kralove, Czech Republic",,https://ClinicalTrials.gov/show/NCT02135666
32,NCT00289731,Effect of Risk Factors Likely to Influence Immuno of Combined Hepatitis A & B Vacc vs Monovalent Hepatitis A & B Vacc,,Completed,Has Results,Hepatitis B|Hepatitis A,Biological: TWINRIX™|Biological: Engerix™-B|Biological: HAVRIX™|Biological: HB VAX PRO™|Biological: Vaqta™,"Antibody Concentrations for Anti-hepatitis A Virus (Anti-HAV) and Anti-hepatitis B Surface (Anti-HBs) Antigens|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value|Number of Seroprotected Subjects Against Hepatitis B Surface (HBs) Antigen|Anti-HAV and Anti-HBs Antibody Concentrations|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Gender|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Age|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Body Mass Index (BMI)|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Smoking Status|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Alcohol Consumption|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Concomitant Medication|Number of Subjects With Anti-HAV and Anti-HBs Antibody Concentrations Above the Cut-off Value, by Medical Condition|Number of Seroprotected Subjects Against HBs Antigen, by Gender|Number of Seroprotected Subjects Against HBs Antigen, by Age|Number of Seroprotected Subjects Against HBs Antigen, by BMI|Number of Seroprotected Subjects Against HBs Antigen, by Smoking Status|Number of Seroprotected Subjects Against HBs Antigen, by Alcohol Consumption|Number of Seroprotected Subjects Against HBs Antigen, by Concomitant Medication|Number of Seroprotected Subjects Against HBs Antigen, by Medical Condition|Anti-HAV and Anti-HBs Antibody Concentrations, by Gender|Anti-HAV and Anti-HBs Antibody Concentrations, by Age|Anti-HAV and Anti-HBs Antibody Concentrations, by BMI|Anti-HAV and Anti-HBs Antibody Concentrations, by Smoking Status|Anti-HAV and Anti-HBs Antibody Concentrations, by Alcohol Consumption|Anti-HAV and Anti-HBs Antibody Concentrations, by Concomitant Medication|Anti-HAV and Anti-HBs Antibody Concentrations, by Medical Condition|Number of Subjects With Serious Adverse Events (SAEs)|Number of Subjects With SAEs",GlaxoSmithKline,All,"41 Years and older   (Adult, Older Adult)",Phase 4,596,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,100382|100383|100384|100385,"November 24, 2003","December 21, 2004","December 21, 2004","February 10, 2006","October 3, 2018","November 15, 2019","GSK Investigational Site, Wilrijk, Belgium|GSK Investigational Site, Hradec Kralove, Czechia|GSK Investigational Site, Finsterwalde, Brandenburg, Germany|GSK Investigational Site, Dresden, Sachsen, Germany|GSK Investigational Site, Geringswalde, Sachsen, Germany|GSK Investigational Site, Pirna, Sachsen, Germany|GSK Investigational Site, Bad Bramstedt, Schleswig-Holstein, Germany|GSK Investigational Site, Bad Segeberg, Schleswig-Holstein, Germany|GSK Investigational Site, Elmshorn, Schleswig-Holstein, Germany",,https://ClinicalTrials.gov/show/NCT00289731
33,NCT00197002,Immune Response & Safety of a Hepatitis A Vaccine Given Together With a Pneumococcal Vaccine in Healthy Children 15 m of Age,,Completed,Has Results,Hepatitis A,Biological: GSK Biologicals 2-dose inactivated hepatitis A vaccine (Havrix)|Biological: Prevnar™,"Number of Seropositive Subjects for Anti-HAV Antibodies|Concentrations for Anti-HAV Antibodies|Anti-4, Anti-6B, Anti-9V, Anti-14, Anti-19F and Anti-23F Antibody Concentrations|Number of Subjects With an Immune Response to Anti-pneumococcal Serotypes 4, 6B, 9V, 14, 18C, 19F and 23F|Number of Subjects With Vaccine Response to Anti-HAV Antibodies|Number of Subjects With Any and Grade 3 Solicited Local Symptoms|Number of Subjects With Any, Grade 3 and Related Solicited General Symptoms|Number of Subjects With Any, Grade 3 and Related Unsolicited Adverse Events (AEs)|Number of Subjects With Serious Adverse Events (SAEs), New Chronic Illnesses (NCIs) and Medically Significant Events (MSEs)|Number of Subjects With SAEs, NCIs and MSEs",GlaxoSmithKline,All,12 Months to 13 Months   (Child),Phase 3,521,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,208109/220,"September 11, 2003","January 16, 2006","January 16, 2006","September 20, 2005","February 20, 2017","August 6, 2018","GSK Investigational Site, Centennial, Colorado, United States|GSK Investigational Site, Bardstown, Kentucky, United States|GSK Investigational Site, Louisville, Kentucky, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Kalamazoo, Michigan, United States|GSK Investigational Site, Omaha, Nebraska, United States|GSK Investigational Site, Las Vegas, Nevada, United States|GSK Investigational Site, North Las Vegas, Nevada, United States|GSK Investigational Site, Stony Brook, New York, United States|GSK Investigational Site, Chapel Hill, North Carolina, United States|GSK Investigational Site, University Heights, Ohio, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Dallas, Texas, United States|GSK Investigational Site, San Antonio, Texas, United States|GSK Investigational Site, Salt Lake City, Utah, United States|GSK Investigational Site, Salt Lake City, Utah, United States|GSK Investigational Site, Vancouver, Washington, United States",,https://ClinicalTrials.gov/show/NCT00197002
34,NCT03351933,"Anti-Hepatitis A Virus, Pharmacokinetics, and Safety of Immune Globulin (Human)",GamaSTAN,Completed,Has Results,Anti-Hepatitis A Antibody Levels in Heathy Subjects,Biological: Immune Globulin (Human),Percentage of Subjects Maintaining Protective Anti- HAV Antibody Levels,Grifols Therapeutics LLC,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 4,28,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,GC1703,"October 31, 2017","April 27, 2018","July 19, 2018","November 24, 2017","July 30, 2019","July 30, 2019","Vince & Associates Clinical Research, Inc., Overland Park, Kansas, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT03351933/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT03351933/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03351933
35,NCT01159925,Surveillance Study to Determine the Trends in Acute Hepatitis A Among Panamanian Children,,Completed,No Results Available,Acute Hepatitis A|Hepatitis,Procedure: Serum sample,"Occurrence of confirmed acute hepatitis A cases identified in the selected sentinel hospitals during the study period by age group, area of residence and year of surveillance|Occurrence of possible and probable cases of acute hepatitis A virus by age group, area of residence and year of surveillance|Risk factors for confirmed cases of acute hepatitis A|Frequency of different clinical signs and symptoms of hepatitis A",GlaxoSmithKline,All,1 Month to 15 Years   (Child),,42,Industry,Observational,Observational Model: Case-Only|Time Perspective: Prospective,112158,July 2009,December 2011,December 2011,"July 12, 2010",,"November 22, 2012","GSK Investigational Site, Clayton, Panamá, Panama",,https://ClinicalTrials.gov/show/NCT01159925
36,NCT02445703,Comparison of Immunization Schedules of Inactivated Hepatitis A Vaccine and Combined Hepatitis A and Hepatitis B Vaccine,,Completed,No Results Available,Hepatitis A|Hepatitis B,Biological: Inactivated Hepatitis A vaccine (HAV)|Biological: Combined hepatitis A and hepatitis B vaccine (HABV),The Post-immunization Seropositivity Rates (SPR) to Hepatitis A|The Post-immunization Geometric Mean Concentration (GMC) of Hepatitis A Antibody (anti-HAV)|The Post-immunization GMC of Hepatitis B Surface Antibody (HBsAb)|The Post-immunization SPR to Hepatitis B|Occurrence of Adverse Events (AEs),"Sinovac Biotech Co., Ltd",All,18 Months to 24 Months   (Child),Phase 4,301,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",PRO-HAB-4005,May 2014,January 2015,,"May 15, 2015",,"May 15, 2015","Hunan Provincial Center for Disease Control and Prevention, Changsha, Hunan, China",,https://ClinicalTrials.gov/show/NCT02445703
37,NCT02112890,"Study to Assess Seroprevalence of Hepatitis A, Hepatitis B and Bordetella Pertussis in Mexico",,Completed,No Results Available,Hepatitis A|Viral Hepatitis Vaccines,Other: Data collection,"Assessment of seropositivity status (defined as the percentage of subjects with antibody titres positive) for anti-HAV|Assessment of seropositivity status (defined as the percentage of subjects with antibody titres positive) for anti-HBV (Hepatitis B core antibody [anti-HBc], Hepatitis B surface antigen [HBsAg]) and Hepatitis B surface antibody (anti-HBs)|Assessment of seropositivity status (defined as the percentage of subjects with antibody titres positive) for Pertussis antibodies|Assesment of the difference in HAV, HBV and B. pertussis seropositivity rates among - Socioeconomic strata, - Regions, - Age groups, - Genders, - Risk groups, - Vaccination status for B. pertussis (if available)",GlaxoSmithKline,All,"10 Years to 25 Years   (Child, Adult)",,1603,Industry,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,201076,"December 10, 2014","May 2, 2016","May 2, 2016","April 14, 2014",,"June 27, 2019","GSK Investigational Site, Cuernavaca, Morelos, Mexico",,https://ClinicalTrials.gov/show/NCT02112890
39,NCT01405677,Safety and Immunogenicity of a Paediatric Dose of Virosomal Hepatitis A Vaccine,,Completed,No Results Available,Hepatitis A,Biological: Epaxal 0.25 mL|Biological: Epaxal 0.5 mL|Biological: Havrix Junior 0.5 mL,Individual anti-HAV titers|Geometric mean titers|Seroprotection,Crucell Holland BV,All,12 Months to 16 Years   (Child),Phase 2,308,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,EPA 001 FU,June 2004,April 2012,April 2012,"July 29, 2011",,"July 29, 2014","Sint-Vincentiusziekenhuis, Antwerp, Belgium|Centre for the Evaluation of Vaccination, University of Antwerp, Antwerp, Belgium",,https://ClinicalTrials.gov/show/NCT01405677
40,NCT00835380,A Study of 2 Doses of VAQTA™ in Healthy Children 12 to 23 Months of Age (V251-069),,Completed,Has Results,Hepatitis A Virus Infection,"Biological: Hepatitis A Vaccine, Purified Inactivated (VAQTA™)","Hepatitis A Virus (HAV) Seroconversion Rate, i.e. the Percentage of Subjects Who Were Seronegative at Baseline and Developed Seropositive at Month 7 After Administration of a 2-dose Regime of Vaccines.|Serious Adverse Experiences and Systemic Adverse Experiences Occurring Within 14 Days After Each Vaccination, and Injection-site Complaints Occurring Day 1 Through Day 5 After Each Vaccination",Merck Sharp & Dohme Corp.,All,12 Months to 23 Months   (Child),Phase 3,80,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,V251-069|2009_531,March 2008,October 2008,October 2008,"February 3, 2009","January 11, 2010","April 13, 2017",,,https://ClinicalTrials.gov/show/NCT00835380
41,NCT00197236,"Immunogenicity and Safety of Havrix™ Co-Administered With a Diphtheria, Tetanus and Pertussis and a Haemophilus b Vaccine in Children Aged 15 Months",,Completed,Has Results,Hepatitis A,Biological: Havrix™|Biological: Infanrix™|Biological: ActHIB™,"Number of Seropositive Subjects for Anti-hepatitis A Virus (HAV) Antibodies Following the Second Dose of Havrix|Number of Anti-diphtheria, Anti-tetanus and Anti-polyribosylribitol Phosphate (PRP) Seroprotected Subjects|Number of Vaccine Responders for Anti-pertussis Toxoid (PT), Anti-filamentous Hemagglutinin (FHA) and Anti-pertactin (PRN)|Anti-diphtheria and Anti-tetanus Antibody Geometric Mean Concentrations (GMC)|Anti-polyribosylribitol Phosphate (PRP) Antibody Geometric Mean Concentrations (GMC)|Number of Subjects Seropositive for Anti-pertussis Toxoid (PT), Anti-filamentous Hemagglutinin (FHA), Anti-pertactin (PRN) and Anti-polyribosylribitol Phosphate (PRP)|Number of Seropositive Subjects for Anti-hepatitis A Virus (HAV) Antibodies Following the First Dose of Havrix|Anti-hepatitis A Virus (HAV) Antibody Geometric Mean Concentrations (GMC) Following the First Dose of Havrix|Anti-hepatitis Virus A (HAV) Antibody Geometric Mean Concentrations (GMC) Following the Second Dose of Havrix|Number of Subjects With Vaccine Response to Havrix™.|Number of Subjects Reporting Solicited Local Adverse Events (AEs)|Number of Subjects Reporting Solicited General Adverse Events (AEs)|Number of Subjects Reporting Unsolicited Adverse Events (AEs)|Number of Subjects Reporting Serious Adverse Events (SAEs), New Chronic Illnesses and Medically Significant Events",GlaxoSmithKline,All,12 Months to 13 Months   (Child),Phase 3,468,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,208109/232,"November 11, 2003","December 3, 2007","December 3, 2007","September 20, 2005","July 24, 2009","August 20, 2018","GSK Investigational Site, Phoenix, Arizona, United States|GSK Investigational Site, Oakland, California, United States|GSK Investigational Site, San Ramon, California, United States|GSK Investigational Site, Wilmington, Delaware, United States|GSK Investigational Site, Pembroke Pines, Florida, United States|GSK Investigational Site, Martinez, Georgia, United States|GSK Investigational Site, Waterloo, Iowa, United States|GSK Investigational Site, Bossier City, Louisiana, United States|GSK Investigational Site, Long Branch, New Jersey, United States|GSK Investigational Site, Ithaca, New York, United States|GSK Investigational Site, Bismarck, North Dakota, United States|GSK Investigational Site, Youngstown, Ohio, United States|GSK Investigational Site, Bellevue, Pennsylvania, United States|GSK Investigational Site, Hershey, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Charleston, South Carolina, United States|GSK Investigational Site, Beaumont, Texas, United States|GSK Investigational Site, Dallas, Texas, United States|GSK Investigational Site, Danville, Virginia, United States|GSK Investigational Site, Mechanicsville, Virginia, United States|GSK Investigational Site, La Crosse, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT00197236
42,NCT01926860,PCV13 + Hepatitis A Vaccine for Adults,PCV13+HepA,Unknown status,No Results Available,Measurement of Immune Response to Prevenar13|Measurement of Immune Response to Hepatitis A,Biological: Prevenar13|Biological: Hepatitis A vaccine,Immune response to PCV13|Immune response to Hep A vaccine,Helsinki University Central Hospital,All,"50 Years and older   (Adult, Older Adult)",Phase 4,300,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,PCV13 adults + Hep A,September 2013,September 2014,September 2015,"August 21, 2013",,"August 21, 2013","Aava Medical Centre, Helsinki, Finland|Department of Infectious Diseases, Eskilstuna, Sweden",,https://ClinicalTrials.gov/show/NCT01926860
43,NCT00197015,Immunogenicity & Safety of Hepatitis A Vaccine Co-admin With a Measles/Mumps/Rubella & a Varicella Vaccine in Children,,Completed,Has Results,Hepatitis A,Biological: Havrix®|Biological: M-M-R®II|Biological: VARIVAX®,"Anti-hepatitis A Virus (HAV) Antibody Concentrations in HAV and HAV+MMR+V Groups.|Number of Subjects With Anti-hepatitis A Virus (HAV) Antibody Concentration Equal or Above the Cut-off Value in HAV and HAV+MMR+V Groups|Number of Subjects Seroconverted for Anti-measle, Anti-mumps and Anti-varicella Antibodies in HAV+MMR+V and MMR+V→HAV Groups|Number of Subjects With Vaccine Response for Anti-rubella Antibodies in HAV+MMR+V and MMR+V→HAV Groups|Anti-measles, Anti-mumps, Anti-rubella and Anti-varicella Antibody Titers in HAV+MMR+V and MMR+V→HAV Groups|Anti-hepatitis A Virus (HAV) Antibody Concentrations in HAV and HAV+MMR+V Groups|Anti-hepatitis A Virus (HAV) Antibody Concentrations in MMR+V→HAV Group|Number of Subjects With Anti-hepatitis A Virus (HAV) Antibody Concentrations Above the Cut-off Value in MMR+V→HAV Group|Number of Subjects With Vaccine Response to Havrix®|Number of Subjects Reporting Solicited Local Symptoms|Number of Subjects Reporting Solicited General Symptoms|Number of Subjects Reporting Measles, Mumps, Rubella and Varicella Specific Solicited General Adverse Events|Number of Subjects Reporting Unsolicited Adverse Events (AEs)|Number of Subjects Reporting Serious Adverse Events (SAEs)|Number of Subjects Reporting New Chronic Illnesses|Number of Subjects Reporting Medically Significant Events",GlaxoSmithKline,All,12 Months to 13 Months   (Child),Phase 3,1474,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,208109/231,"October 6, 2003","June 9, 2009","June 9, 2009","September 20, 2005","April 1, 2010","July 31, 2018","GSK Investigational Site, Cabot, Arkansas, United States|GSK Investigational Site, Jonesboro, Arkansas, United States|GSK Investigational Site, North Little Rock, Arkansas, United States|GSK Investigational Site, Huntington Beach, California, United States|GSK Investigational Site, Oakland, California, United States|GSK Investigational Site, Rolling Hills Estates, California, United States|GSK Investigational Site, Norwich, Connecticut, United States|GSK Investigational Site, Jacksonville, Florida, United States|GSK Investigational Site, Marietta, Georgia, United States|GSK Investigational Site, Waterloo, Iowa, United States|GSK Investigational Site, Waukee, Iowa, United States|GSK Investigational Site, Lexington, Kentucky, United States|GSK Investigational Site, Bossier City, Louisiana, United States|GSK Investigational Site, Baltimore, Maryland, United States|GSK Investigational Site, Henderson, Nevada, United States|GSK Investigational Site, Las Vegas, Nevada, United States|GSK Investigational Site, Albany, New York, United States|GSK Investigational Site, Brooklyn, New York, United States|GSK Investigational Site, Rochester, New York, United States|GSK Investigational Site, Syracuse, New York, United States|GSK Investigational Site, Lumberton, North Carolina, United States|GSK Investigational Site, Sylva, North Carolina, United States|GSK Investigational Site, Cleveland, Ohio, United States|GSK Investigational Site, University Heights, Ohio, United States|GSK Investigational Site, Tulsa, Oklahoma, United States|GSK Investigational Site, Beaver Falls, Pennsylvania, United States|GSK Investigational Site, Norristown, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Rydal, Pennsylvania, United States|GSK Investigational Site, Sellersville, Pennsylvania, United States|GSK Investigational Site, Warwick, Rhode Island, United States|GSK Investigational Site, Bristol, Tennessee, United States|GSK Investigational Site, Kingsport, Tennessee, United States|GSK Investigational Site, Kingsport, Tennessee, United States|GSK Investigational Site, Austin, Texas, United States|GSK Investigational Site, San Antonio, Texas, United States|GSK Investigational Site, Temple, Texas, United States|GSK Investigational Site, Layton, Utah, United States|GSK Investigational Site, South Jordan, Utah, United States|GSK Investigational Site, Norfolk, Virginia, United States|GSK Investigational Site, Marshfield, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT00197015
44,NCT00197249,"Comparative Study in Healthy Adults Aged 18-50 Yrs Administered With Hepatyrix or Havrix+Typherix or Tiphim Vi, to Compare Reactogenicity & Immunogenicity",,Completed,No Results Available,Hepatitis A,Biological: Combined Vi polysaccharide typhoid vaccine and hepatitis A vaccine- Hepatyrix,"Anti-Vi seropositivity rates (i.e., percentage of subjects with anti-Vi antibody titres > or = 150 EL.U/ml) at Month 1 after administration of study vaccine (Comparison of Hepatyrix versus concomitant Havrix+Typherix and Hepatyrix versus Typhim Vi).|Anti-HAV seropositivity rates (i.e., percentage of subjects with anti-HAV antibody titres >or = 15 mIU/ml) at Month 1 after administration of study vaccine, (Comparison of Hepatyrix versus concomitant Havrix+Typherix and Hepatyrix versus Havrix).|Anti-Vi seropositivity rates at Day 14, Month 6 and Month 7 and GMTs at Day 14, Month 1, Month 6 and Month 7 after administration of study vaccine.|Anti-HAV seropositivity rates at Day 14, Month 6 and Month 7 and GMTs at Day 14, Month 1, Month 6 and Month 7 after administration of study vaccine.|Anti-Vi and anti-HAV seropositivity rates and GMTs at Months 12, 24, 36 after administration of study vaccine.|Occurrence and intensity of solicited local symptoms after vaccination (Day 0 to 4).|Occurrence, intensity and relationship of solicited general symptoms after vaccination (Day 0 to 4).|Occurrence, intensity and relationship to vaccination of unsolicited signs and symptoms after vaccination (Day 0 to 30).|Occurrence, intensity and relationship to vaccination of serious adverse events (SAEs) during the study period and during the follow-up period up to Months 12, 24 and 36 after administration of study vaccine.",GlaxoSmithKline,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 3,1034,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,270362/006|270362/007 (Ext. Mth12)|270362/008 (Ext. Mth24)|270362/009 (Ext. Mth36),May 2002,June 2003,November 2005,"September 20, 2005",,"September 9, 2016",,,https://ClinicalTrials.gov/show/NCT00197249
53,NCT00926419,Serological Evaluation of Varicella and Hepatitis A Vaccines Using Injector Delivery,InjHepAVar,Unknown status,No Results Available,Varicella|Hepatitis A,Biological: Varicella Vaccine|Biological: Hepatitis A Vaccine,Immunogenicity: General seroconversion rate 45 days following immunization. Safety: General rate of local and systemic adverse events after immunization according to definition established by Brighton Collaboration Group|Degree and duration of local and systemic adverse events after immunization according to the Brighton Collaboration Group recommendations.|Seroconversion rates and number of local and systemic adverse events after immunization according to delivery system (needle-free injector or syringe with needle) for each dose tested|Actual volume administered intradermally according to the delivery system (needle-free injector or syringe with needle) for each fractional dose tested|Participants' parents or legal guardians acceptability according to the delivery system (needle-free injector or syringe with needle) for each dose tested|Distribution of vaccine jet evaluated through ultrasound for the needle-free injector group,University of Sao Paulo General Hospital,All,13 Months to 30 Months   (Child),Phase 2|Phase 3,600,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention,CAPPesq 0911/08,June 2009,November 2009,May 2010,"June 23, 2009",,"June 23, 2009","Disciplina de Immunologia Clínica e Alergia do HC- FMUSP, São Paulo, SP, Brazil",,https://ClinicalTrials.gov/show/NCT00926419
64,NCT00197184,"Long Term Follow-up Study at Years 2, 3, 4 and 5 Where 2 Dosing Schedules of the Combined Hepatitis A and B Vaccine Were Compared",,Completed,Has Results,Hepatitis B|Hepatitis A,Biological: Twinrix™ Adult|Biological: Twinrix™ Junior,Anti-hepatitis A (HAV) Antibody Concentrations|Anti-hepatitis B (HBs) Antibody Concentrations|Anti-HAV Antibody Concentrations in Subjects Receiving the Additional Vaccine Dose.|Anti-HBs Antibody Concentrations in Subjects Receiving the Additional Vaccine Dose.|Number of Subjects Reporting Serious Adverse Events (SAEs) Determined by the Investigator to Have a Causal Relationship to Primary Vaccination or Due to Lack of Vaccine Efficacy.|Number of Subjects Receiving an Additional Vaccine Dose and Reporting Solicited Local Symptoms|Number of Subjects Receiving an Additional Vaccine Dose and Reporting Solicited General Symptoms.|Number of Subjects Receiving an Additional Vaccine Dose and Reporting Unsolicited Adverse Events (AEs).|Number of Subjects Receiving an Additional Vaccine Dose and Reporting Any Serious Adverse Events,GlaxoSmithKline,All,3 Years to 13 Years   (Child),Phase 3,276,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,208127/132 (EXT Y2)|208127/133 (EXT Y3)|208127/134 (EXT Y4)|208127/137 (EXT Y5),"November 1, 2003","March 10, 2004","March 10, 2004","September 20, 2005","June 4, 2009","August 20, 2018","GSK Investigational Site, North Adelaide, South Australia, Australia|GSK Investigational Site, Carlton, Victoria, Australia|GSK Investigational Site, Bruxelles, Belgium|GSK Investigational Site, Barcelona, Spain|GSK Investigational Site, Blanes (Girona), Spain|GSK Investigational Site, Cerdanyola Del Vallés / Barcelona, Spain|GSK Investigational Site, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT00197184
